Raw,Eng
TANAH LONGSOR,Landslide
Températures extrêmes,Extreme Temperature
Tempestad,Storm
TEMPESTADE ,Storm
TEMPESTADE DE VENTO,Wind Storm 
TEMPETE,Storm
Tempete,Storm
TEMPÊTE,Storm
Tempête,Storm
TEMPETE DE VENTS,Wind Storm 
TERREMOTO,Earthquake
Tondering,Thundering
TORMENTA,Storm
Tormenta,Storm
Tormenta eléctrica,Electric Storm
Tormenta severa,Severe Storm
Tormenta Tropical,Tropical Storm
Tornade,Tornado
TORNADO,Tornado
Tornado,Tornado
Tornados,Tornado
TOURBE,Peat
Trafik kazası,Traffic Accidents
Tremblement de terre,Earthquake
TREMBLEMENT DE TERRE,Earthquake
Tren kazası,Train Accident
TROVOADA,Thunder 
Tuberclosis,Tuberculosis
