Raw,Eng
Бујични токови,Rain
ГАЗАР ХӨДЛӨЛТ,Earthquake
Град,Hail
Гром (електрична олуја),Thunder
Гром (електрична олуја) ,Thunder
Експлозија,Explosion
Експлозија ,Explosion
Епидемија,Explosion
Епидемија ,Explosion
Земљотрес,Earthquake
ЗУД,Flash Flood
КИША,Rain
Клизиште,Landslide
Контаминација,Contamination
Контаминација ,Contamination
МАЛЫН ХАЛДВАРТ ӨВЧИН,Animal Infectious disease
Мраз,Frost
Најезда,Infestation
ОБЪЕКТЫН ТҮЙМЭР,Fire
ОЙН ТҮЙМЭР,Forest Fire
Олуја,Storm
Остало,Other
Пожар,Fire
Пожар ,Fire
Поплава,Flood
Снежне падавине,Snowfall
сум илэрсэн,Conflict
Суша,Drought
Торнадо,Tornado
ТЭСРЭЛТ ДЭЛБЭРЭЛТ,Explosion
Удес,Accident
УСНЫ ОСОЛ,Water Accident
ҮЕР,
Хаварија,Car Accident
ХИМИЙН БОДИСЫН ОСОЛ,Chemical Accident
ХҮЙТЭН БОРОО,Cold Rain
ХҮНИЙ ХАЛДВАРТ ӨВЧИН,Epidemic
ХҮЧТЭЙ САЛХИ ШУУРГА,Storm
ХЭЭРИЙН ТҮЙМЭР,Fire
ЦАСНЫ НУРАНГИ,Avalanche
Цурење,Leakage
Цурење ,Leakage
Шумски пожар,Forest Fire
Шумски пожар ,Forest Fire
اخرى,Other
الاختناق,Drowning
النوهَّ,Storm
امواج عالية,Tidal wave
انزلاق أرضي,Landslide
انفجار,Explosion
انهيار الأبنية,Building Collapse
انهيار جبلي أو جليدي,Avalanche
انهيار صخري,Rockslide
انهيار صخور,Rock Avalanche
آتش سوزي,Fire
آتش سوزي جنگل,Forest Fire
آفات زراعية,pests
آفت,Pests
أمطار غزير,Heavy Rain
أمطار غزيرة,High Rain
إعصار,Tornado
بارش,Rain
بهمن,Avalanche
بيماري مسري,Infection
تآكل السواحل,Coastal Erosion
تسونامي,Tsunami
تصادف,Accident
تگرگ,Hail
تلوث,Pollution
تندباد,Strong Winds
جفاف,Drought
حادثة,Accident
حرب,Conflict
حريق,Fire
حريق غابات,Forest Fire
حوادث السفن والعبارات,Ship accident
حوادث الطرق,Road Accident
حوادث القطارات,Train Accident
خشكسالي,Drought
رعد و برق,Thunder and Lightning
روانگرايي,psychosis
رياح قوية,Strong Winds
زلزال,Earthquake
زمين لغزش,Landslide
زمین لرزه,Earthquake
زوبعة,Tornado
سازه,Structural Collapse
ساير,Other
سقوط الى بئر,Fell into a Well
سيل,Rain
سيل ناگهاني,Flash Flood
سيول,Flood
سيول جارفة,Torrential Flood
صقيع,Frost
ضباب,Fog
طوفان,Storm
طوفان گونو,Storm
عاصفة,Storm
عاصفة ثلجية,Snow Storm
عاصفة رعدية,Thunderstorm
عاصفة رملية,Sandstorm
عاصفة رياح,Wind Storm 
غبار كثيف,Thick Dust
غرق,Drowned
غرق شدگی,Drowning
فيضان,Flood
فيضان مفاجئ,Flash Flood
كارثة بيولوجية,Biological Disaster
کولاک,Blizzard
موجة باردة,Cold Wave
موجة حارة,Heat Wave
نزاع مسلح,Conflict
هلع,Panic
وباء,Epidemic
وفاة,Death
وفاة/اصابة,Death/Injury
وفاة/مصاب,Death/Injury
ສັດຕູພືດ,Pests
ຊ້າງທຳລາຍພືດ,Elephants destroy plants
ນ້ຳຖ້ວມ,Flood
ນ້ຳປ່າໄຫລຊູ,Forest Flood
ຝົນຕົກ,Rain
ພະຍາດລະບາດຄົນ,Epidemic
ຟ້າຜ່າ,Lightning
ໄຟໄໝ້ປ່າ,Forest Fire
ແຫ້ງແລ້ງ,Drought
ອັກຄີໄພ,Fire
ອຸປະຕິເຫດຖ/ໜ,Accident
ខ្យល់ព្យុះ,Hurricane
ជំងឺរាតត្បាត,Epidemic
ទឹកជំនន់,Flood
បាក់ច្រាំងទន្លេ,River Bank Collapse
រន្ទះបាញ់,Lightning Strikes
រាំងស្ងួត,Drought
សត្វល្អិតបំផ្លាញដំណាំ,Pests
អគ្គីភ័យ,Fire
Бујични токови,Torrential Flows
